date,signal,prediction,actual,ticker
2024-01-02,hold,240.27237,239.94999694824222,WTW
2024-01-03,hold,240.58302,240.63000488281247,WTW
2024-01-04,hold,240.82529,239.4900054931641,WTW
2024-01-05,hold,240.95467,238.8699951171875,WTW
2024-01-08,hold,241.13249,242.1699981689453,WTW
2024-01-09,hold,241.44334,239.86999511718753,WTW
2024-01-10,hold,241.46301,245.44000244140625,WTW
2024-01-11,hold,242.0829,247.07000732421875,WTW
2024-01-12,hold,242.92537,248.39999389648438,WTW
2024-01-16,hold,243.93874,245.7899932861328,WTW
2024-01-17,hold,244.59398,247.07000732421875,WTW
2024-01-18,hold,245.37164,247.77000427246094,WTW
2024-01-19,hold,246.12587,250.7599945068359,WTW
2024-01-22,hold,247.18698,249.10000610351562,WTW
2024-01-23,hold,248.07996,250.99000549316406,WTW
2024-01-24,hold,248.90091,250.99000549316406,WTW
2024-01-25,hold,249.79219,250.72000122070312,WTW
2024-01-26,hold,250.29507,249.47999572753903,WTW
2024-01-29,hold,250.54237,246.44000244140628,WTW
